price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,price_category,description_len
3500,2005.0,chrysler,excellent,6,gas,155000.0,clean,automatic,rwd,full-size,sedan,black,fl,28.0,-81.0,low,342
14900,2018.0,subaru,excellent,0,gas,47423.0,clean,automatic,4wd,other,wagon,white,co,40.0,-105.0,medium,3003
19200,2012.0,ram,other,0,gas,121371.0,clean,automatic,fwd,other,pickup,green,fl,28.0,-81.0,medium,4059
2500,2005.0,other,fair,4,gas,112432.0,clean,automatic,fwd,compact,convertible,black,ca,37.0,-122.0,low,99
6995,2005.0,nissan,good,0,gas,188208.0,clean,automatic,4wd,other,truck,white,fl,30.0,-82.0,low,1650
2995,2017.0,hyundai,like new,0,gas,39268.0,rebuilt,automatic,fwd,full-size,sedan,silver,fl,26.0,-80.0,low,1470
15598,2013.0,audi,other,4,gas,81640.0,clean,automatic,4wd,mid-size,sedan,custom,co,40.0,-105.0,medium,9722
33990,2014.0,gmc,good,8,gas,41376.0,clean,other,4wd,other,pickup,other,pa,41.0,-75.0,high,4287
9800,2014.0,volkswagen,excellent,4,diesel,52000.0,rebuilt,automatic,fwd,other,wagon,white,wa,46.0,-119.0,medium,428
13500,2011.0,bmw,other,0,gas,95000.0,clean,automatic,other,other,other,other,in,40.0,-86.0,medium,462
13900,2010.0,rover,other,0,gas,106437.0,clean,automatic,other,other,other,other,nj,40.0,-75.0,medium,683
2300,2003.0,chrysler,fair,6,gas,140000.0,clean,automatic,fwd,full-size,mini-van,silver,pa,40.0,-76.0,low,769
2400,2007.0,mazda,other,4,gas,143785.0,clean,automatic,fwd,other,sedan,other,md,39.0,-76.0,low,4128
42999,2016.0,dodge,other,0,gas,21671.0,clean,automatic,rwd,other,coupe,grey,wa,48.0,-122.0,high,4552
10995,2015.0,kia,good,0,gas,123340.0,clean,automatic,other,other,SUV,other,ks,39.0,-94.0,medium,1130
2900,1999.0,ford,good,6,gas,162472.0,clean,automatic,other,other,other,other,fl,26.0,-80.0,low,342
15995,2018.0,chevrolet,good,0,gas,35849.0,clean,automatic,fwd,other,sedan,black,il,42.0,-88.0,medium,3518
17995,1977.0,jeep,like new,0,gas,38000.0,clean,manual,other,other,other,other,nc,34.0,-78.0,medium,418
16988,2016.0,chevrolet,excellent,0,gas,113108.0,clean,automatic,4wd,other,pickup,white,ca,39.0,-121.0,medium,5180
8000,2007.0,other,good,6,diesel,147971.0,clean,automatic,rwd,full-size,bus,yellow,tn,36.0,-87.0,low,365
10995,2008.0,mercedes-benz,excellent,0,gas,99883.0,clean,automatic,4wd,other,sedan,silver,ga,34.0,-84.0,medium,5741
16000,1971.0,volkswagen,excellent,4,gas,67000.0,clean,manual,rwd,compact,coupe,yellow,mt,48.0,-114.0,medium,545
9990,2013.0,fiat,excellent,0,gas,85000.0,clean,manual,other,other,coupe,other,fl,26.0,-80.0,medium,2356
34950,2016.0,chevrolet,excellent,8,gas,68000.0,clean,automatic,4wd,other,truck,blue,nh,43.0,-71.0,high,345
41900,2017.0,ford,excellent,8,gas,42420.0,clean,automatic,4wd,full-size,pickup,grey,fl,27.0,-80.0,high,420
5999,2009.0,jeep,other,0,other,162323.0,clean,automatic,4wd,other,SUV,silver,oh,41.0,-82.0,low,2245
35980,2014.0,toyota,other,6,gas,122166.0,clean,automatic,4wd,other,SUV,grey,id,48.0,-117.0,high,6041
7999,2008.0,chevrolet,excellent,6,gas,167785.0,clean,automatic,other,other,SUV,other,ca,39.0,-122.0,low,3777
13590,2013.0,ford,good,0,gas,76279.0,clean,other,fwd,other,wagon,red,wi,44.0,-88.0,medium,3962
39990,2019.0,nissan,good,6,gas,8373.0,clean,other,rwd,other,coupe,white,al,34.0,-84.0,high,4106
24415,2016.0,mazda,other,0,gas,12525.0,clean,automatic,rwd,other,convertible,other,ks,39.0,-95.0,high,12768
